episode_num,season,Line_num,character,line
1,1,1,Rick,Morty! You gotta come on. You got--... you gotta come with me.
1,1,2,Morty,"What, Rick? What’s going on?"
1,1,3,Rick,"I got a surprise for you, Morty."
1,1,4,Morty,It's the middle of the night. What are you talking about?
1,1,5,Rick,"Come on, I got a surprise for you.  Come on, hurry up."
1,1,6,Morty,Ow! Ow! You're tugging me too hard!
1,1,7,Rick,"We gotta go, gotta get outta here, come on. Got a surprise for you Morty."
1,1,8,Rick,"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage."
1,1,9,Morty,"Yeah, Rick... I-it's great. Is this the surprise?"
1,1,10,Rick,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb."
1,1,11,Morty,What?! A bomb?!
1,1,12,Rick,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start."
1,1,13,Morty,T-t-that's absolutely crazy!
1,1,14,Rick,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica."
1,1,15,Morty,Jessica? From my math class?
1,1,16,Rick,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam."
1,1,17,Morty,Ohh...
1,1,18,Rick,And Jessica's gonna be Eve.
1,1,19,Morty,Whhhh-wha?
1,1,20,Rick,"And so that's the surprise, Morty."
1,1,21,Morty,"No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!"
1,1,22,Rick,"I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty."
1,1,23,Morty,"What are you talking about, Rick?"
1,1,24,Rick,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty."
1,1,25,Morty,I don't care about Jessica! Y-Yyyyyyyyyyou—
1,1,26,Rick,"You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways."
1,1,27,Robot Voice,Arming neutrino bomb.
1,1,28,Morty,"That's it... that's it, Rick. I'm taking the wheel."
1,1,29,Rick,"Get off of me, Morty!"
1,1,30,Morty,"I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!"
1,1,31,Rick,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty."
1,1,32,Rick,Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.
1,1,33,Rick,"We'll park it right here, Morty. Right here on the side of the ree... road here."
1,1,34,Morty,"Oh, thank god."
1,1,35,Rick,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive."
1,1,36,Morty,It was?
1,1,37,Rick,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—"
1,1,38,Robot Voice,Neutrino bomb armed.
1,1,39,Morty,Um...
1,1,40,Jerry,I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?
1,1,41,Summer,"Oh my God, his head is in his food. I'm going to puke."
1,1,42,Morty,"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something."
1,1,43,Summer,Or maybe you were out all night again with Grandpa Rick.
1,1,44,Jerry,What?
1,1,45,Beth,Dad?
1,1,46,Rick,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?"
1,1,47,Jerry,Damn it!
1,1,48,Beth,Jerry!
1,1,49,Jerry,Beth!
1,1,50,Summer,"Oh my god, my parents are so loud, I want to die."
1,1,51,Rick,"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later."
1,1,52,Jerry,"Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?"
1,1,53,Rick,"Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them."
1,1,54,Beth,"Oh, dad…"
1,1,55,Jerry,What? For real?
1,1,56,Mr. Goldenfold,"Alright, now, everybody get settled. Get away from the windows!"
1,1,57,Mr. Goldenfold,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two."
1,1,58,All classmates except Morty,Four.
1,1,59,Morty,Jessica.
1,1,60,Mr. Goldenfold,Five plus five.
1,1,61,All classmates except Morty,Ten.
1,1,62,Morty,Jessica.
1,1,63,Mr. Goldenfold,"Okay, good. It's time for the quiz."
1,1,64,Class,Awwwwww.
1,1,65,Mr. Goldenfold,"Yeah, you know what?! Aw, too bad! Tough! First row, take one. Pass it back for me. The stakes are high in this room.  There's crucial things happening here every day. People getting smarter. Some of y'all getting dumber. Some of y'all ain't gonna see 3"
1,1,66,Jessica,"Hi, Morty."
1,1,67,Morty,"Whoa! Hi, Jessica."
1,1,68,Jessica,Can I show these to you?
1,1,69,Morty,Wow. Th-they're both great. Thank you!
1,1,70,Jessica,You know what I named these? My little Morties.
1,1,71,Morty,"Uh, that's flattering... and a little weird."
1,1,72,Jessica,Do you know what I want you to do with them?
1,1,73,Morty,Rename them?
1,1,74,Jessica,"Squeeze them. Manhandle them. Give them the business. See if you can shuffle them. I mean, really get in there and knock them around. No wrong answers."
1,1,75,Morty,"Wow. Well, okay, Jessica. L-let's give this a shot."
1,1,76,Jessica,"Mm. Oh, Morty. What are you doing to me?"
1,1,77,Morty,"Uh, I-I'm just doing my best."
1,1,78,Mr. Goldenfold,Morty! What are you doing to me?!
1,1,79,Morty,"Ah, Jessica."
1,1,80,Mr. Goldenfold,Morty!
1,1,81,Morty,Jessica.
1,1,82,Mr. Goldenfold,"Five more minutes of this, and I'm gonna get mad."
1,1,83,Morty,Je-Jessica. Jessica.
1,1,84,Mr. Goldenfold,Not my fault this is happening.
1,1,85,Frank,"Well, well, well."
1,1,86,Morty,"Uh, morning, Frank."
1,1,87,Frank,"""Morning""? What was what is that supposed to mean? You making fun of me? Are you trying to say my family's poor?"
1,1,88,Morty,"Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it."
1,1,89,Frank,"You telling me how to bully now? Big mistake, Morty and now I'm gonna cut you, 'cause my family's rich."
1,1,90,Rick,"There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands."
1,1,91,Morty,"Oh, geez, Rick. W-w-what'd you do to Frank?"
1,1,92,Rick,"It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  It's important. Come on, Morty."
1,1,93,Morty,"I don't know, Rick. I can't leave school again."
1,1,94,Rick,"Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!"
1,1,95,Morty,"Aw, geez. Okay. I guess I can skip history. What about Frank? I mean, shouldn't you unfreeze him?"
1,1,96,Rick,"I'll do it later, Morty. He'll be fine. Let's go."
